vel,fe/h,isotope,13m,15m,20m,25m,30m,40m,60m,80m,120m
300,0,H,4.0545,4.5888,5.8135,6.4478,7.1206,9.5572,12.871,18.603,30.992
300,0,H2,1.8287e-16,1.9116e-14,2.3183e-11,5.4772e-10,2.3378e-10,8.4505e-09,2.0339e-07,4.7789e-07,1.2507e-07
300,0,H3,4.145800000000001e-25,1.4766999999999998e-21,2.1076e-16,4.4137e-14,2.2477e-13,2.6664e-12,1.1431e-11,2.9671e-11,1.1888e-12
300,0,He3,0.00014192,0.00015484,0.00016722,0.00019261,0.00020814,0.00028615,0.00036553,0.00042861,0.00049216
300,0,He4,3.4564,4.002,5.6818,8.4944,10.951,15.509,28.967,42.1,67.827
300,0,Li6,1.2639e-12,2.4433e-12,6.702e-12,1.4866e-11,2.1427e-11,3.6597e-11,4.9865e-11,6.4745e-11,3.7353e-11
300,0,Li7,2.5282e-11,5.2942e-11,1.5151e-10,3.6257e-10,4.5252e-10,7.9603e-10,9.6751e-10,1.2918e-09,8.6755e-10
300,0,Be7,2.495e-12,4.6335e-12,1.7328e-11,1.5975e-11,8.5683e-12,1.2912e-11,6.664e-12,1.936e-12,3.327e-12
300,0,Be9,7.4941e-13,1.5203e-12,4.2991e-12,9.3818e-12,1.342e-11,2.3729e-11,2.7609e-11,3.7704e-11,2.8161e-11
300,0,Be10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,B10,4.96e-12,1.0004e-11,2.8537e-11,6.1047e-11,8.7808e-11,1.5558e-10,1.8132e-10,2.5552e-10,1.9981e-10
300,0,B11,7.2389e-10,8.6012e-10,1.0219e-09,1.6327e-09,2.3231e-09,4.0848e-09,6.1103e-09,9.2888e-09,1.0921e-08
300,0,C12,0.016565,0.024487,0.070451,0.30215,0.38834,0.66376,0.86185,0.89688,1.057
300,0,C13,0.0012924,0.0016618,0.0034167,0.0035081,0.003693,0.0033088,0.0011268,0.0015376,0.0025011
300,0,C14,6.3979e-13,3.7134e-11,5.9439e-11,2.5194e-12,2.1519e-12,1.9933e-12,7.8975e-12,6.0237e-13,1.2341e-12
300,0,N13,2.3176e-14,7.4584e-14,2.301e-13,4.6132e-14,9.312e-14,6.383e-14,1.4517e-14,2.0209e-14,2.5653e-14
300,0,N14,0.04688,0.065495,0.12375,0.10414,0.1316,0.17483,0.28381,0.43404,0.74462
300,0,N15,2.1271e-06,2.6826e-06,3.9309e-06,3.9485e-06,4.9232e-06,7.1972e-06,1.1456e-05,1.6413e-05,2.4298e-05
300,0,N16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,O15,8.1276e-16,3.2183e-15,1.0098e-14,1.0877e-15,1.9207e-15,2.5296e-15,2.2573e-15,3.2966e-15,4.3234e-15
300,0,O16,0.03277,0.044494,0.064536,0.082678,0.098233,0.1317,0.12742,0.13837,0.16379
300,0,O17,3.2991e-05,3.8129e-05,4.3254e-05,2.6364e-05,2.4813e-05,2.4214e-05,2.5784e-05,3.2002e-05,4.0101e-05
300,0,O18,3.5337e-05,3.9641e-05,4.7864e-05,5.7592e-05,5.7973e-05,7.2718e-05,0.00016,0.00015806,0.00013852
300,0,O19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
